3,172,7.59
9,41,5.441
106,58,6.223
31,6,6.38
110,16,11.923
7,45,4.123
218,44,3.445
151,8,22.095
68,164,2.259
74,134,15.96
1,119,11.462
104,41,17.504
9,119,11.371
157,107,6.395
200,219,5.065
201,50,14.573
34,123,4.647
3,212,11.064
9,66,3.024
51,72,44.621
108,179,32.597
9,190,5.103
79,121,4.309
166,26,6.692
31,220,2.196
8,115,4.676
40,13,2.737
66,208,4.571
75,197,3.197
66,201,3.803
115,91,5.278
9,130,8.852
62,207,8.538
175,209,5.503
149,50,17.653
62,72,23.084
132,44,73.781
125,12,7.528
108,12,2.308
142,128,4.181
21,211,5.835
118,141,5.874
81,50,8.351
181,82,5.957
26,79,6.805
113,66,11.339
35,124,3.668
28,70,59.242
59,11,7.381
31,38,30.675
176,54,4.107
47,33,6.243
66,154,3.39
23,157,10.167
17,36,16.67
77,67,30.434
210,221,13.411
40,31,15.09
1,101,7.295
51,101,6.592
12,60,13.106
171,68,3.702
28,82,32.407
100,54,6.125
9,92,7.076
171,71,3.078
108,139,21.941
209,129,5.803
72,115,6.321
9,85,6.689
163,179,5.77
166,222,3.124
28,155,15.352
32,71,3.018
195,1,2.217
171,36,10.121
125,33,3.007
32,44,2.501
82,102,2.935
18,154,12.903
78,72,6.887
15,70,3.446
34,134,11.84
108,190,5.092
88,187,4.654
136,125,4.674
34,217,4.243
125,130,5.671
59,46,3.905
90,32,10.46
23,223,4.259
188,68,15.8
224,90,3.74
103,33,3.754
225,169,5.64
104,73,4.013
7,115,2.7
90,40,21.197
180,70,9.806
79,215,8.902
37,141,3.755
89,83,4.186
28,33,10.612
121,76,4.135
80,185,7.745
225,226,4.764
26,177,4.594
158,23,89.649
7,42,38.282
34,142,3.904
190,11,4.745
74,27,9.359
64,106,3.098
100,44,15.382
10,68,7.103
28,23,84.452
64,104,3.481
59,207,23.463
34,12,6.593
44,91,16.852
166,107,6.65
33,29,4.332
17,12,3.957
161,29,7.938
150,80,3.707
72,16,11.61
3,188,1.478
181,26,3.635
117,1,14.772
34,141,10.006
181,161,5.552
202,1,9.932
203,5,13.622
140,42,5.193
23,107,95.86
76,187,5.314
3,227,10.387
44,177,7.526
102,211,5.557
223,133,7.677
88,54,9.591
33,178,4.987
88,72,17.537
157,228,3.834
16,41,2.313
31,120,11.12
24,68,8.25
28,69,22.307
182,146,3.877
68,133,3.779
10,81,3.416
28,167,10.746
50,23,23.726
222,44,2.866
69,5,14.506
3,210,1.88
28,30,2.784
77,169,2.289
77,56,81.055
42,190,5.166
72,207,3.635
40,139,2.772
169,66,2.5
218,1,9.756
147,203,6.897
3,173,8.262
82,46,3.308
5,50,253.81
150,161,5.262
62,79,3.351
5,16,11.662
57,76,3.24
153,44,2.856
150,25,8.307
163,104,24.912
72,229,34.946
51,190,5.118
33,1,20.269
3,189,9.684
23,211,6.324
1,62,6.894
91,169,2.302
40,179,8.248
7,161,4.064
9,1,86.811
166,110,5.134
44,40,20.754
147,22,18.886
157,50,24.742
26,31,16.33
82,126,2.597
7,109,6.609
92,29,11.504
59,43,8.519
92,64,4.097
81,199,2.111
84,35,7.704
50,189,8.933
21,196,6.734
51,13,2.352
5,167,3.323
106,188,18.536
7,18,11.485
16,42,33.181
62,39,3.926
62,219,3.733
7,16,54.314
52,112,3.271
31,61,29.318
150,149,4.252
28,153,2.622
212,6,5.091
11,50,3.658
147,209,3.262
210,40,2.407
182,38,74.297
134,44,33.301
15,88,3.311
17,180,28.385
37,126,3.543
9,110,14.49
40,174,4.625
33,68,27.008
154,7,3.634
75,229,7.176
88,13,5.184
136,7,28.813
62,85,3.298
62,29,23.997
2,50,29.143
84,128,11.45
209,12,3.452
166,169,9.433
81,91,16.895
59,106,6.29
197,73,3.944
151,43,33.307
53,157,7.305
193,169,2.644
197,169,5.596
65,64,4.05
225,126,3.885
44,185,2.763
19,68,5.037
42,25,6.606
66,121,5.233
197,98,5.569
83,73,4.24
9,87,3.692
44,121,9.49
44,35,5.682
48,17,7.051
59,117,10.403
2,106,3.484
33,121,4.127
7,1,87.594
157,21,4.533
9,152,5.877
159,107,8.289
