,name,followers,id,party
214,RepSwalwell,374983,S001193,Democrat
215,RepTomMacArthur,14814,M001193,Republican
216,RepKevinYoder,32713,Y000063,Republican
217,RepValDemings,9953,D000627,Democrat
218,RepMcNerney,21510,M001166,Democrat
219,MarioDB,39043,D000600,Republican
220,RepKenMarchant,25235,M001158,Republican
221,repsheaporter,6924,S001170,Democrat
222,RepLukeMesser,15859,M001189,Republican
223,RepDerekKilmer,23631,K000381,Democrat
224,RepAmata,2808,R000600,Republican
225,GraceNapolitano,30255,N000179,Democrat
226,RepLowenthal,26527,L000579,Democrat
227,RepDennyHeck,21852,H001064,Democrat
228,RepSires,18840,S001165,Democrat
229,USRepLong,17885,L000576,Republican
230,RosLehtinen,133709,R000435,Republican
231,RepPaulMitchell,4429,M001201,Republican
232,RonWyden,436564,W000779,Democrat
233,Robert_Aderholt,22865,A000055,Republican
234,senmurphyoffice,3238,M001169,Democrat
235,JuliaBrownley26,14807,B001285,Democrat
236,SenStabenow,92931,S000770,Democrat
237,ChelliePingree,23562,P000597,Democrat
238,RepMGriffith,25777,G000568,Republican
239,sendougjones,17734,J000300,Democrat
240,SenJoniErnst,46882,E000295,Republican
241,SenGillibrand,1290908,G000555,Democrat
242,HerreraBeutler,18752,H001056,Republican
243,RepNewhouse,11123,N000189,Republican
244,RepDonYoung,17683,Y000033,Republican
245,RepJohnFaso,7141,F000464,Republican
246,RepStefanik,18455,S001196,Republican
247,RepKathleenRice,25844,R000602,Democrat
248,RepChuck,14337,F000459,Republican
249,RepHankJohnson,31419,J000288,Democrat
250,RepMarcyKaptur,17612,K000009,Democrat
251,TulsiPress,101869,G000571,Democrat
252,RepWebster,23416,W000806,Republican
253,RepRoKhanna,20207,K000389,Democrat
254,RepJeffDenham,23462,D000612,Republican
255,GKButterfield,16685,B001251,Democrat
256,RepRonKind,13568,K000188,Democrat
257,RepTedYoho,29716,Y000065,Republican
258,GerryConnolly,45385,C001078,Democrat
259,RepSinema,37477,S001191,Democrat
260,RepGarretGraves,9421,G000577,Republican
261,SenBennetCo,209194,B001267,Democrat
262,RepSandyLevin,26689,L000263,Democrat
263,RepGraceMeng,23542,M001188,Democrat
264,VernBuchanan,27231,B001260,Republican
265,RepRodBlum,12843,B001294,Republican
266,RepMarthaRoby,30804,R000591,Republican
267,SenGaryPeters,110290,P000595,Democrat
268,RepGwenMoore,31264,M001160,Democrat
269,RepRonEstes,2994,E000298,Republican
270,SteveKnight25,6265,K000387,Republican
271,RepSeanMaloney,27271,M001185,Democrat
272,SenatorDurbin,579182,D000563,Democrat
273,RepMikeRogersAL,23230,R000575,Republican
274,Sen_JoeManchin,173188,M001183,Democrat
275,congressmanraja,12397,K000391,Democrat
276,RepBetoORourke,194654,O000170,Democrat
277,RepDinaTitus,31222,T000468,Democrat
278,RepTedDeutch,55134,D000610,Democrat
279,RepWalorski,16145,W000813,Republican
280,RepRatcliffe,27679,R000601,Republican
281,RepDevinNunes,31596,N000181,Republican
282,RepAndyBarr,18352,B001282,Republican
283,RepJohnLarson,23403,L000557,Democrat
284,RepraulGrijalva,31482,G000551,Democrat
285,RepMarshall,1436,M001198,Republican
286,repbrianfitz,8300,F000466,Republican
287,PeteSessions,33066,S000250,Republican
288,PeterRoskam,29737,R000580,Republican
289,RepDeSaulnier,13029,D000623,Democrat
290,RepJohnKatko,12476,K000386,Republican
291,RepEsty,22015,E000293,Democrat
292,RepClayHiggins,5115,H001077,Republican
293,Kilili_Sablan,557,S001177,Democrat
294,JoaquinCastrotx,124387,C001091,Democrat
295,Senatorhassan,141272,H001076,Democrat
296,SenatorBaldwin,102776,B001230,Democrat
297,SenatorWicker,70129,W000437,Republican
298,RepBonamici,24744,B001278,Democrat
299,RepGrothman,5377,G000576,Republican
300,SenAmyKlobuchar,17374,K000367,Democrat
301,RepSarbanes,18325,S001168,Democrat
302,RepPaulTonko,23516,T000469,Democrat
303,RepTimRyan,54740,R000577,Democrat
304,RepDWStweets,12727,W000797,Democrat
305,RepGutierrez,81393,G000535,Democrat
306,RepCuellar,21569,C001063,Democrat
307,SenJackReed,83543,R000122,Democrat
308,RepSchrader,23581,S001180,Democrat
309,SenRonJohnson,95801,J000293,Republican
310,RepJimmyPanetta,6760,P000613,Democrat
311,RepMcClintock,13068,M001177,Republican
312,RepEdRoyce,30134,R000487,Republican
313,CongCulberson,16260,C001048,Republican
314,RepRooney,5160,R000607,Republican
315,RepGallagher,10256,G000579,Republican
