,name,followers,id
282,RepAndyBarr,18352,B001282
283,RepJohnLarson,23403,L000557
284,RepraulGrijalva,31482,G000551
285,RepMarshall,1436,M001198
286,repbrianfitz,8300,F000466
287,PeteSessions,33066,S000250
288,PeterRoskam,29737,R000580
289,RepDeSaulnier,13029,D000623
290,RepJohnKatko,12476,K000386
291,RepEsty,22015,E000293
292,RepClayHiggins,5115,H001077
293,Kilili_Sablan,557,S001177
294,JoaquinCastrotx,124387,C001091
295,Senatorhassan,141272,H001076
296,SenatorBaldwin,102776,B001230
297,SenatorWicker,70129,W000437
298,RepBonamici,24744,B001278
299,RepGrothman,5377,G000576
300,SenAmyKlobuchar,17374,K000367
301,RepSarbanes,18325,S001168
302,RepPaulTonko,23516,T000469
303,RepTimRyan,54740,R000577
304,RepDWStweets,12727,W000797
305,RepGutierrez,81393,G000535
306,RepCuellar,21569,C001063
307,SenJackReed,83543,R000122
308,RepSchrader,23581,S001180
309,SenRonJohnson,95801,J000293
310,RepJimmyPanetta,6760,P000613
311,RepMcClintock,13068,M001177
312,RepEdRoyce,30134,R000487
313,CongCulberson,16260,C001048
314,RepRooney,5160,R000607
315,RepGallagher,10256,G000579
316,DonaldNorcross,8547,N000188
317,RepRutherfordFL,3523,R000609
318,RepDavidYoung,13448,Y000066
319,reploucorrea,5902,C001110
320,JAHimes,74934,H001047
321,RepGuthrie,14820,G000558
322,SenSanders,7953947,S000033
323,RepCurbelo,19721,C001107
324,RepSeanDuffy,34790,D000614
325,RepBradWenstrup,20072,W000815
326,reptrey,7258,H001074
327,RepTerriSewell,32313,S001185
328,RepShimkus,27938,S000364
329,SenatorTomUdall,159700,U000039
330,RepKenBuck,18991,B001297
331,RepErikPaulsen,20556,P000594
332,RepAnnaEshoo,37655,E000215
333,RepEspaillat,11239,E000297
334,RepHolding,14395,H001065
335,RepKClark,56325,C001101
336,RepEliotEngel,24833,E000179
337,SenDonnelly,113858,D000607
338,CongressmanGT,19323,T000467
