RepMcSally,38591
RepKevinCramer,14303
RepEBJ,30757
RepMcCaul,27277
RepAndyBiggsAZ,13958
RepTomEmmer,11329
RepCheri,29073
RepPeteKing,34679
repjackyrosen,12079
SenJohnKennedy,35184
LamarSmithTX21,27605
RepMikeCapuano,10427
RepRobWoodall,11076
RepMcGovern,38204
MarkAmodeiNV2,12455
SenMarkey,139674
RepTomSuozzi,5911
SteveDaines,41305
RepAlLawsonJr,4438
RepSmucker,6482
RepTedLieu,120556
SteveKingIA,101933
RepDaveBrat,16886
RepLujanGrisham,26529
RepDaveJoyce,19467
RepDonaldPayne,14386
RepArrington,5423
RepLizCheney,6568
repjenniffer,9142
RepComstock,17148
JacksonLeeTX18,61054
RepDrewFerguson,4619
ToddRokita,23002
RepJasonSmith,27287
InhofePress,15575
RepThompson,23366
Raul_Labrador,22862
RepWalterJones,24078
USRepRickNolan,12681
BettyMcCollum04,27398
RepFrankLucas,17257
SenatorFischer,69530
USRepGaryPalmer,14783
RepJerryNadler,62758
RepRobinKelly,22993
RepJohnCurtis,1440
SenDanSullivan,31063
RepMaxineWaters,874697
Rep_Hunter,17179
RepAbraham,14406
SenDeanHeller,106097
SenCapito,61920
CongressmanRuiz,18397
AustinScottGA08,18675
ChuckGrassley,326571
RepFilemonVela,13319
RepMikeTurner,20819
RepBlaine,11194
CongPalazzo,14816
JohnCornyn,163421
RepJimCooper,22443
RepHartzler,19911
RepRussell,9556
McCaskillOffice,16901
RepHastingsFL,22611
RepAndyHarrisMD,14138
RepJimmyGomez,6107
RepTenney,5668
RepDarrenSoto,6858
PatrickMcHenry,23957
SenJohnThune,91181
RepAnnieKuster,18672
RepBarragan,9021
JudgeCarter,14578
RepJoeCourtney,22675
RepSteveStivers,31321
RepStevePearce,13530
CongBoyle,8416
CongBillPosey,21843
RepRickCrawford,16943
RepJohnYarmuth,34143
RepMikeJohnson,3747
SenTinaSmith,31613
hurdonthehill,31603
RepSwalwell,374983
RepTomMacArthur,14814
RepKevinYoder,32713
RepValDemings,9953
RepMcNerney,21510
MarioDB,39043
RepKenMarchant,25235
repsheaporter,6924
RepLukeMesser,15859
RepDerekKilmer,23631
RepAmata,2808
GraceNapolitano,30255
RepLowenthal,26527
RepDennyHeck,21852
RepSires,18840
USRepLong,17885
RosLehtinen,133709
RepPaulMitchell,4429
RonWyden,436564
Robert_Aderholt,22865
senmurphyoffice,3238
JuliaBrownley26,14807
SenStabenow,92931
ChelliePingree,23562
RepMGriffith,25777
sendougjones,17734
SenJoniErnst,46882
SenGillibrand,1290908
HerreraBeutler,18752
RepNewhouse,11123
RepDonYoung,17683
RepJohnFaso,7141
RepStefanik,18455
RepKathleenRice,25844
RepChuck,14337
RepHankJohnson,31419
RepMarcyKaptur,17612
TulsiPress,101869
RepWebster,23416
RepRoKhanna,20207
RepJeffDenham,23462
GKButterfield,16685
RepRonKind,13568
RepTedYoho,29716
GerryConnolly,45385
RepSinema,37477
RepGarretGraves,9421
SenBennetCo,209194
RepSandyLevin,26689
RepGraceMeng,23542
VernBuchanan,27231
RepRodBlum,12843
RepMarthaRoby,30804
SenGaryPeters,110290
RepGwenMoore,31264
RepRonEstes,2994
SteveKnight25,6265
